[INFO] [1777035582.621182915] [motion_info_to_twist]: Published 48600 Twist messages
[INFO] [1777035592.715097870] [motion_info_to_twist]: Published 48800 Twist messages
[INFO] [1777035602.621443404] [motion_info_to_twist]: Published 49000 Twist messages
[INFO] [1777035612.621571453] [motion_info_to_twist]: Published 49200 Twist messages
[INFO] [1777035622.621670869] [motion_info_to_twist]: Published 49400 Twist messages
[INFO] [1777035632.622740807] [motion_info_to_twist]: Published 49600 Twist messages
[INFO] [1777035642.621925295] [motion_info_to_twist]: Published 49800 Twist messages
[INFO] [1777035652.621915938] [motion_info_to_twist]: Published 50000 Twist messages
[INFO] [1777035662.618959467] [motion_info_to_twist]: Published 50200 Twist messages
[INFO] [1777035672.622141455] [motion_info_to_twist]: Published 50400 Twist messages
[INFO] [1777035682.622230156] [motion_info_to_twist]: Published 50600 Twist messages
[INFO] [1777035692.622290115] [motion_info_to_twist]: Published 50800 Twist messages
[INFO] [1777035702.622407213] [motion_info_to_twist]: Published 51000 Twist messages
[INFO] [1777035712.622656057] [motion_info_to_twist]: Published 51200 Twist messages
[INFO] [1777035722.615911419] [motion_info_to_twist]: Published 51400 Twist messages
[INFO] [1777035732.622785466] [motion_info_to_twist]: Published 51600 Twist messages
[INFO] [1777035742.623175997] [motion_info_to_twist]: Published 51800 Twist messages
[INFO] [1777035752.623362110] [motion_info_to_twist]: Published 52000 Twist messages
[INFO] [1777035762.623142538] [motion_info_to_twist]: Published 52200 Twist messages
[INFO] [1777035772.623576833] [motion_info_to_twist]: Published 52400 Twist messages
[INFO] [1777035782.623525306] [motion_info_to_twist]: Published 52600 Twist messages
[INFO] [1777035792.623466811] [motion_info_to_twist]: Published 52800 Twist messages
[INFO] [1777035802.623578650] [motion_info_to_twist]: Published 53000 Twist messages
[INFO] [1777035812.623911058] [motion_info_to_twist]: Published 53200 Twist messages
[INFO] [1777035822.623949253] [motion_info_to_twist]: Published 53400 Twist messages
[INFO] [1777035832.623880296] [motion_info_to_twist]: Published 53600 Twist messages
[INFO] [1777035842.624020449] [motion_info_to_twist]: Published 53800 Twist messages
[INFO] [1777035852.614682174] [motion_info_to_twist]: Published 54000 Twist messages
[INFO] [1777035862.624355708] [motion_info_to_twist]: Published 54200 Twist messages
